rpm_bp,load_bp,n_logs,total_samples,strict_n,strict_pct,active_n,active_pct,above_1pct_strict
4450,1.3,35,3354592,0,0.0,232,0.0082,False
4450,1.5,35,3354592,0,0.0,391,0.0139,False
4450,1.75,35,3354592,0,0.0,258,0.0092,False
4450,2.0,35,3354592,0,0.0,119,0.0042,False
4450,2.25,35,3354592,0,0.0,306,0.0109,False
4450,2.5,35,3354592,0,0.0,488,0.0173,False
4450,3.5,35,3354592,0,0.0,364,0.0129,False
4450,4.0,35,3354592,0,0.0,7,0.0002,False
4750,0.2,35,3354592,0,0.0,1068,0.0379,False
4750,0.3,35,3354592,0,0.0,109,0.0039,False
4750,0.5,35,3354592,0,0.0,74,0.0026,False
4750,0.6,35,3354592,0,0.0,94,0.0033,False
4750,0.7,35,3354592,0,0.0,86,0.0031,False
4750,0.8,35,3354592,0,0.0,60,0.0021,False
4750,0.9,35,3354592,0,0.0,86,0.0031,False
4750,1.0,35,3354592,0,0.0,69,0.0024,False
4750,1.1,35,3354592,0,0.0,180,0.0064,False
4750,1.2,35,3354592,0,0.0,89,0.0032,False
4750,1.3,35,3354592,0,0.0,121,0.0043,False
4750,1.5,35,3354592,0,0.0,194,0.0069,False
4750,1.75,35,3354592,0,0.0,95,0.0034,False
4750,2.0,35,3354592,0,0.0,123,0.0044,False
4750,2.25,35,3354592,0,0.0,256,0.0091,False
4750,2.5,35,3354592,0,0.0,416,0.0148,False
4750,3.5,35,3354592,0,0.0,154,0.0055,False
4750,4.0,35,3354592,0,0.0,3,0.0001,False
5000,0.2,35,3354592,0,0.0,525,0.0186,False
5000,0.3,35,3354592,0,0.0,56,0.002,False
5000,0.5,35,3354592,0,0.0,41,0.0015,False
5000,0.6,35,3354592,0,0.0,29,0.001,False
5000,0.7,35,3354592,0,0.0,47,0.0017,False
5000,0.8,35,3354592,0,0.0,40,0.0014,False
5000,0.9,35,3354592,0,0.0,28,0.001,False
5000,1.0,35,3354592,0,0.0,63,0.0022,False
5000,1.1,35,3354592,0,0.0,105,0.0037,False
5000,1.2,35,3354592,0,0.0,34,0.0012,False
5000,1.3,35,3354592,0,0.0,53,0.0019,False
5000,1.5,35,3354592,0,0.0,63,0.0022,False
5000,1.75,35,3354592,0,0.0,87,0.0031,False
5000,2.0,35,3354592,0,0.0,234,0.0083,False
5000,2.25,35,3354592,0,0.0,156,0.0055,False
5000,2.5,35,3354592,0,0.0,279,0.0099,False
5000,3.5,35,3354592,0,0.0,79,0.0028,False
5000,4.0,35,3354592,0,0.0,7,0.0002,False
5500,0.2,35,3354592,0,0.0,236,0.0084,False
5500,0.3,35,3354592,0,0.0,18,0.0006,False
5500,0.5,35,3354592,0,0.0,14,0.0005,False
5500,0.6,35,3354592,0,0.0,18,0.0006,False
5500,0.7,35,3354592,0,0.0,24,0.0009,False
5500,0.8,35,3354592,0,0.0,20,0.0007,False
5500,0.9,35,3354592,0,0.0,10,0.0004,False
5500,1.0,35,3354592,0,0.0,5,0.0002,False
5500,1.1,35,3354592,0,0.0,17,0.0006,False
5500,1.2,35,3354592,0,0.0,9,0.0003,False
5500,1.3,35,3354592,0,0.0,16,0.0006,False
5500,1.5,35,3354592,0,0.0,27,0.001,False
5500,1.75,35,3354592,0,0.0,76,0.0027,False
5500,2.0,35,3354592,0,0.0,73,0.0026,False
5500,2.25,35,3354592,0,0.0,51,0.0018,False
5500,2.5,35,3354592,0,0.0,125,0.0044,False
5500,3.5,35,3354592,0,0.0,72,0.0026,False
5500,4.0,35,3354592,0,0.0,0,0.0,False
