log_date,rom_rev,log_path,mafv_bin,mafgs_bin,sample_count,mean_correction,median_correction,std_co,std_correction
2026-04-25,20.9,logs/April/4-25/4-25 full.csv,1.3948,6.225371,8,-3.7109375,-2.34375,,3.934052841967538
2026-04-25,20.9,logs/April/4-25/4-25 full.csv,1.3948,6.565505,1,-3.90625,-3.90625,,
2026-04-25,20.9,logs/April/4-25/4-25 full.csv,1.45,4.699582,1,-17.18755,-17.18755,,
2026-04-25,20.9,logs/April/4-25/4-25 full.csv,1.45,5.624956,5,-3.59375,-2.34375,,2.683681880830885
2026-04-25,20.9,logs/April/4-25/4-25 full.csv,1.45,6.225371,7,-3.6830357142857135,-1.5625,,4.389723312343111
2026-04-25,20.9,logs/April/4-25/4-25 full.csv,1.45,6.565505,17,-1.7922794117647058,-0.78125,,3.0228003442099647
2026-04-25,20.9,logs/April/4-25/4-25 full.csv,1.45,7.731196,3,-2.34375,-3.125,,2.066993211769212
2026-04-25,20.9,logs/April/4-25/4-25 full.csv,1.4801,3.89676,1,-4.6875,-4.6875,,
2026-04-25,20.9,logs/April/4-25/4-25 full.csv,1.4801,5.624956,1,0.0,0.0,,
2026-04-25,20.9,logs/April/4-25/4-25 full.csv,1.4801,6.225371,1,-4.6875,-4.6875,,
2026-04-25,20.9,logs/April/4-25/4-25 full.csv,1.4801,6.565505,7,-2.9017857142857144,-2.34375,,1.3315126613224166
2026-04-25,20.9,logs/April/4-25/4-25 full.csv,1.4801,7.731196,18,-2.6475694444444446,-2.734375,,2.228136358242736
2026-04-25,20.9,logs/April/4-25/4-25 full.csv,1.4801,8.044332,6,-1.5625,-1.953125,,2.037250751625828
2026-04-25,20.9,logs/April/4-25/4-25 full.csv,1.5473,5.624956,1,3.125,3.125,,
2026-04-25,20.9,logs/April/4-25/4-25 full.csv,1.5473,6.225371,2,-2.34375,-2.34375,,1.1048543456039803
2026-04-25,20.9,logs/April/4-25/4-25 full.csv,1.5473,6.565505,1,-0.78125,-0.78125,,
2026-04-25,20.9,logs/April/4-25/4-25 full.csv,1.5473,7.731196,9,-2.517361111111111,-2.34375,,3.0201597668602087
2026-04-25,20.9,logs/April/4-25/4-25 full.csv,1.5473,8.044332,131,-3.2383129770992367,-2.34375,,5.844032987384483
2026-04-25,20.9,logs/April/4-25/4-25 full.csv,1.5473,9.456532,15,-1.25,-1.5625,,1.4998604845832446
2026-04-25,20.9,logs/April/4-25/4-25 full.csv,1.5473,9.9646,1,-6.25,-6.25,,
