ROM Size: 1048576 bytes (1024 KB)

================================================================================
ROM HOLES (0xFF regions >= 32 bytes)
================================================================================
Total free space: 195,476 bytes (190.9 KB)

  0x0DAE8C-0x0F8900  121460 bytes (118.6 KB)
  0x0AF998-0x0BB400   47720 bytes (46.6 KB)
  0x0FC004-0x0FFAF8   15092 bytes (14.7 KB)
  0x0FA54C-0x0FC000    6836 bytes (6.7 KB)
  0x0BEDB8-0x0BF600    2120 bytes (2.1 KB)
  0x0BF878-0x0C0000    1928 bytes (1.9 KB)
  0x0FFB00-0x0FFB80     128 bytes (0.1 KB)
  0x000F74-0x000FB0      60 bytes (0.1 KB)
  0x001FD8-0x001FFC      36 bytes (0.0 KB)
  0x000FBC-0x000FDC      32 bytes (0.0 KB)
  0x0CD2C6-0x0CD2E6      32 bytes (0.0 KB)
  0x0D39EA-0x0D3A0A      32 bytes (0.0 KB)

================================================================================
ROM REGION MAP (256-byte block classification)
================================================================================

Region type distribution:
  code              444928 bytes ( 42.4%)  #####################
  0x0A5600-0x0A5900     768 bytes  code
  0x0A5900-0x0A5E00    1280 bytes  float_data
  0x0A5E00-0x0A6000     512 bytes  code
  0x0A6100-0x0A6400     768 bytes  code
  0x0A6400-0x0A6900    1280 bytes  float_data
  0x0A6A00-0x0A6C00     512 bytes  float_data
  0x0A6C00-0x0A6E00     512 bytes  code
  0x0A6F00-0x0A7100     512 bytes  code
  0x0A7100-0x0A7B00    2560 bytes  float_data
  0x0A7C00-0x0A8400    2048 bytes  float_data
  0x0A8400-0x0A8800    1024 bytes  code
  0x0A8900-0x0A8F00    1536 bytes  code
  0x0A8F00-0x0A9200     768 bytes  float_data
  0x0A9200-0x0A9700    1280 bytes  code
  0x0A9800-0x0A9A00     512 bytes  code
  0x0A9A00-0x0A9C00     512 bytes  float_data
  0x0A9D00-0x0AF900   23552 bytes  float_data
  0x0AFA00-0x0BB400   47616 bytes  rom_hole
  0x0BB600-0x0BB800     512 bytes  code
  0x0BB900-0x0BBB00     512 bytes  code
  0x0BBC00-0x0BC600    2560 bytes  code
  0x0BC700-0x0BC900     512 bytes  code
  0x0BCA00-0x0BCC00     512 bytes  code
  0x0BCD00-0x0BD100    1024 bytes  code
  0x0BD200-0x0BE500    4864 bytes  code
  0x0BE500-0x0BE800     768 bytes  float_data
  0x0BE900-0x0BEB00     512 bytes  float_data
  0x0BEB00-0x0BED00     512 bytes  code
  0x0BEE00-0x0BF600    2048 bytes  rom_hole
  0x0BF900-0x0C0000    1792 bytes  rom_hole
  0x0C0000-0x0C0600    1536 bytes  float_data
  0x0C0600-0x0C0800     512 bytes  uint8_data
  0x0C0800-0x0C0A00     512 bytes  float_data
  0x0C0B00-0x0C3F00   13312 bytes  float_data
  0x0C4000-0x0C7E00   15872 bytes  float_data
  0x0C8000-0x0C8200     512 bytes  mixed_data
