AE5L600L Calibration Cross-Reference: RomRaider Definitions <-> Disassembly Descriptors
========================================================================================================================
RomRaider definitions: 622 | Descriptors: 760 | In cal area: 759
Named (matched): 129 | Unnamed: 630
========================================================================================================================

  DATA_ADDR   DESC_ADDR   DIM   SIZE      TYPE      MATCH   NAME
  0xCB7C0     0xAC1CC     2D        6x8   float32    NONE  (UNKNOWN - needs RomRaider definition)
  0xCB9C0     0xAC1F4     2D       5x10   float32    NONE  (UNKNOWN - needs RomRaider definition)
  0xCBB0C     0xAC244     2D        5x4   float32    NONE  (UNKNOWN - needs RomRaider definition)
  0xCC790     0xAC2B0     1D         16   float32    NONE  (UNKNOWN - needs RomRaider definition)
  0xCC7B0     0xAC2D0     1D         16     int16    NONE  (UNKNOWN - needs RomRaider definition)
  0xCC7D0     0xAC2E8     1D         16     int16    NONE  (UNKNOWN - needs RomRaider definition)
  0xCC7F0     0xAC300     1D         16     int16    NONE  (UNKNOWN - needs RomRaider definition)
  0xCC810     0xAC318     1D         16     int16    NONE  (UNKNOWN - needs RomRaider definition)
  0xCC830     0xAC338     1D         16     int16   EXACT  Min Primary Base Enrichment 1 (Non-Primary OL)_
  0xCC868     0xAC34C     1D         10     int16   EXACT  Cranking Fuel IPW Compensation (MAP)
  0xCC89C     0xAC360     1D         10     int16   EXACT  Cranking Fuel IPW Compensation (Accelerator)
  0xCC8BC     0xAC374     1D          5     int16   EXACT  Cranking Fuel IPW Compensation (IAT)
  0xCC8C1     0xAC388     1D         16     int16      +5  ~Cranking Fuel IPW Compensation (IAT)
  0xCC8E1     0xAC3A0     1D         16     int16    NONE  (UNKNOWN - needs RomRaider definition)
  0xCC901     0xAC3B8     1D         16     int16    NONE  (UNKNOWN - needs RomRaider definition)
  0xCC911     0xAC3CC     1D         16     int16    NONE  (UNKNOWN - needs RomRaider definition)
  0xCC921     0xAC3E0     1D         16     int16    NONE  (UNKNOWN - needs RomRaider definition)
  0xCC95C     0xAC3F4     1D         10     int16    NONE  (UNKNOWN - needs RomRaider definition)
  0xCC990     0xAC408     1D         10     int16    NONE  (UNKNOWN - needs RomRaider definition)
